codigo,nombre,municipio,tipo,especialidad,familia_fp
28040751,VILLA DE VALLECAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040763,ANA OZORES,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040775,SAN JUAN DE LA CRUZ,Pozuelo de Alarcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040787,EL BURGO-IGNACIO ECHEVERRÍA,"Rozas de Madrid, Las",IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040799,JULIO PALACIOS,San Sebastián de los Reyes,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041354,AGORA,Alcobendas,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041366,EL PINAR,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041378,PROFESOR MAXIMO TRUEBA,Boadilla del Monte,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041381,DE LA CABRERA,"Cabrera, La",IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041391,ANTONIO GAUDI,Coslada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041408,JOSÉ LUIS LÓPEZ ARANGUREN,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041411,ALTAIR,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041421,OCTAVIO PAZ,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041433,JUANA DE CASTILLA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041445,MIGUEL DELIBES,Mejorada del Campo,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041457,EL CAÑAVERAL,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041470,PROFESOR ANGEL YSERN,Navalcarnero,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041482,LA LAGUNA,Parla,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041494,LAS LAGUNAS,Rivas-Vaciamadrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041500,PALAS ATENEA,Torrejón de Ardoz,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041512,CALATALIFA,Villaviciosa de Odón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041597,LAS CANTERAS,Collado Villalba,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28041615,SATAFI,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042000,IGNACIO ELLACURIA,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042012,MARIA GUERRERO,Collado Villalba,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042024,PABLO NERUDA,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042036,GABRIEL GARCIA MARQUEZ,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042048,JOAQUIN ARAUJO,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042051,DOLORES IBARRURI,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042061,ANTONIO LOPEZ GARCÍA,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042073,MARGARITA SALAS,Majadahonda,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28042085,ANTONIO GALA,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
